Date;Price;Open;High;Low;Vol.;Change %
05/06/2022;0.6715;0.7010;0.7010;0.6520;6.99M;-3.80%
05/05/2022;0.6980;0.6860;0.7010;0.6630;18.01M;2.72%
05/04/2022;0.6795;0.6860;0.6895;0.6620;2.16M;-0.80%
04/29/2022;0.6850;0.6860;0.6885;0.6600;4.24M;-0.22%
04/28/2022;0.6865;0.6900;0.6935;0.6720;4.57M;-0.15%
04/27/2022;0.6875;0.6930;0.6940;0.6500;4.73M;-0.29%
04/26/2022;0.6895;0.6880;0.6930;0.6735;6.31M;2.38%
04/25/2022;0.6735;0.6580;0.6900;0.6580;6.94M;2.75%
04/22/2022;0.6555;0.6600;0.6900;0.6515;4.36M;-2.16%
04/21/2022;0.6700;0.6260;0.6900;0.6255;4.28M;6.10%
04/20/2022;0.6315;0.6350;0.6540;0.6255;934.00K;0.32%
04/19/2022;0.6295;0.6425;0.6425;0.6215;4.06M;-2.10%
04/18/2022;0.6430;0.6455;0.6555;0.6320;5.40M;-1.61%
04/15/2022;0.6535;0.6500;0.6610;0.6370;3.96M;-0.31%
04/14/2022;0.6555;0.6695;0.6785;0.6535;4.81M;-2.09%
04/13/2022;0.6695;0.6710;0.6875;0.6570;4.53M;1.90%
04/12/2022;0.6570;0.6715;0.6900;0.6515;4.78M;-2.38%
04/11/2022;0.6730;0.6850;0.6890;0.6715;4.47M;-1.54%
04/08/2022;0.6835;0.6780;0.6880;0.6730;9.31M;1.71%
04/07/2022;0.6720;0.6795;0.6795;0.6505;4.19M;-0.22%
04/06/2022;0.6735;0.6900;0.6905;0.6500;6.29M;-1.89%
04/05/2022;0.6865;0.7000;0.7020;0.6005;16.56M;-1.93%
04/04/2022;0.7000;0.7000;0.7090;0.6575;18.83M;-0.14%
04/01/2022;0.7010;0.7010;0.7020;0.6370;40.44M;1.45%
03/31/2022;0.6910;0.4870;0.6910;0.4685;54.67M;50.22%
03/30/2022;0.4600;0.4250;0.4950;0.3960;32.46M;16.16%
03/29/2022;0.3960;0.4250;0.4250;0.3880;19.78M;1.54%
03/28/2022;0.3900;0.4505;0.5000;0.3700;16.09M;-4.76%
02/25/2022;0.4095;0.4500;0.4600;0.3600;15.53M;10.68%
02/24/2022;0.3700;0.5855;0.5855;0.3360;22.56M;-36.10%
02/22/2022;0.5790;0.5880;0.5930;0.4610;5.84M;-3.50%
02/21/2022;0.6000;0.6400;0.6495;0.5900;7.77M;-5.73%
02/18/2022;0.6365;0.6500;0.6605;0.6355;1.30M;-2.38%
02/17/2022;0.6520;0.6505;0.6595;0.6500;739.00K;-0.61%
02/16/2022;0.6560;0.6465;0.6560;0.6345;6.32M;3.88%
02/15/2022;0.6315;0.6390;0.6400;0.6310;1.03M;0.08%
02/14/2022;0.6310;0.6430;0.6435;0.6300;8.82M;-1.56%
02/11/2022;0.6410;0.6335;0.6495;0.6335;2.01M;0.00%
