Date;Price;Open;High;Low;Vol.;Change %
06/09/2022;74.960;75.800;76.260;74.120;495.04K;-1.55%
06/08/2022;76.140;76.420;76.760;75.760;711.45K;-0.50%
06/07/2022;76.520;76.380;77.000;75.720;587.98K;-1.21%
06/06/2022;77.460;78.840;79.880;77.220;419.65K;-0.44%
06/03/2022;77.800;79.340;79.720;77.440;449.18K;-1.74%
06/02/2022;79.180;79.640;79.920;78.620;310.43K;-0.05%
06/01/2022;79.220;76.500;79.940;75.900;883.09K;4.05%
05/31/2022;76.140;74.000;76.820;73.300;1.40M;2.56%
05/30/2022;74.240;74.280;74.900;73.840;394.05K;1.12%
05/27/2022;73.420;73.160;73.820;72.240;517.87K;0.14%
05/26/2022;73.320;72.660;73.320;71.860;528.09K;0.83%
05/25/2022;72.720;72.660;73.020;70.800;451.86K;1.22%
05/24/2022;71.840;71.900;72.960;71.400;474.91K;-1.59%
05/23/2022;73.000;73.060;73.400;71.240;538.84K;1.98%
05/20/2022;71.580;71.320;73.360;71.120;670.93K;1.02%
05/19/2022;70.860;72.000;72.180;68.920;787.28K;-1.69%
05/18/2022;72.080;73.480;73.520;72.020;868.34K;-1.50%
05/17/2022;73.180;75.500;75.680;72.320;913.87K;-2.79%
05/16/2022;75.280;75.480;76.120;74.300;555.79K;-3.26%
05/13/2022;77.820;77.420;78.640;76.360;1.02M;1.81%
05/12/2022;76.440;74.700;76.720;73.840;562.01K;0.39%
05/11/2022;76.140;74.220;76.920;73.120;824.32K;5.25%
05/10/2022;72.340;75.560;75.880;72.040;775.01K;-2.98%
05/09/2022;74.560;76.740;77.120;74.180;524.22K;-3.07%
05/06/2022;76.920;77.500;78.020;75.920;512.66K;-1.11%
05/05/2022;77.780;80.240;80.940;76.880;558.10K;-0.69%
05/04/2022;78.320;79.460;80.160;78.320;417.80K;-1.58%
05/03/2022;79.580;78.240;79.920;77.800;532.65K;2.71%
05/02/2022;77.480;79.000;79.240;73.940;531.79K;-2.59%
04/29/2022;79.540;79.140;79.860;78.660;516.06K;1.58%
04/28/2022;78.300;77.980;79.360;77.220;509.27K;2.30%
04/27/2022;76.540;76.160;77.780;73.940;749.95K;0.42%
04/26/2022;76.220;80.260;80.400;75.660;;-3.84%
04/25/2022;79.260;80.500;81.360;78.820;714.46K;-3.88%
04/22/2022;82.460;82.500;83.800;82.260;423.38K;-1.72%
04/21/2022;83.900;83.660;84.740;83.200;543.27K;0.58%
04/20/2022;83.420;82.960;84.360;82.460;385.76K;1.58%
04/19/2022;82.120;81.800;82.840;81.080;537.06K;1.08%
04/14/2022;81.240;81.420;82.460;80.460;652.46K;0.05%
04/13/2022;81.200;80.680;81.220;79.760;436.58K;0.10%
04/12/2022;81.120;80.020;81.660;79.460;519.50K;-0.76%
04/11/2022;81.740;82.200;82.720;80.860;518.32K;-1.66%
04/08/2022;83.120;84.840;85.060;83.020;421.51K;-0.14%
04/07/2022;83.240;84.600;85.440;82.940;570.28K;-0.86%
04/06/2022;83.960;87.300;87.720;82.900;968.67K;-4.72%
04/05/2022;88.120;89.780;89.780;87.580;661.32K;-0.97%
04/04/2022;88.980;88.980;89.420;87.280;518.41K;0.86%
04/01/2022;88.220;88.220;89.380;87.240;546.59K;0.36%
03/31/2022;87.900;89.000;89.660;87.620;691.58K;-0.63%
03/30/2022;88.460;89.880;89.880;87.700;748.60K;-1.54%
03/29/2022;89.840;85.500;90.140;84.540;990.04K;6.65%
03/28/2022;84.240;83.920;85.600;83.780;468.12K;0.60%
03/25/2022;83.740;83.340;84.360;82.660;371.34K;0.70%
03/24/2022;83.160;83.260;84.160;82.600;696.08K;-0.55%
03/23/2022;83.620;84.800;85.140;82.940;539.71K;-0.62%
03/22/2022;84.140;82.820;84.700;82.200;643.62K;1.82%
03/21/2022;82.640;81.880;83.000;81.200;587.78K;0.58%
03/18/2022;82.160;82.040;83.140;80.980;3.77M;-0.29%
03/17/2022;82.400;83.300;83.380;81.220;1.10M;0.41%
03/16/2022;82.060;79.500;82.480;78.560;1.62M;6.08%
03/15/2022;77.360;75.900;77.880;73.640;1.23M;0.76%
03/14/2022;76.780;75.980;78.860;75.700;1.38M;5.32%
03/11/2022;72.900;73.440;75.560;72.400;1.32M;0.50%
03/10/2022;72.540;76.300;76.760;71.860;1.49M;-4.10%
03/09/2022;75.640;71.000;75.640;69.100;2.13M;12.06%
03/08/2022;67.500;68.060;71.180;67.020;2.15M;-2.79%
03/07/2022;69.440;70.500;72.480;67.040;2.59M;-5.27%
03/04/2022;73.300;78.680;79.220;73.160;2.14M;-8.60%
03/03/2022;80.200;82.360;83.620;80.200;1.07M;-2.34%
03/02/2022;82.120;83.040;85.100;80.680;1.77M;-3.34%
03/01/2022;84.960;90.000;91.560;84.960;1.26M;-6.51%
02/28/2022;90.880;89.000;90.960;85.760;1.59M;-0.57%
02/25/2022;91.400;92.000;93.000;89.140;2.09M;3.77%
02/24/2022;88.080;90.000;94.540;86.960;2.58M;-7.23%
02/23/2022;94.940;91.580;97.660;90.560;2.10M;4.58%
02/22/2022;90.780;79.580;93.960;79.040;3.12M;11.30%
02/21/2022;81.560;85.000;85.820;80.740;656.26K;-3.16%
02/18/2022;84.220;86.860;87.800;84.220;561.68K;-3.15%
02/17/2022;86.960;88.020;88.820;86.500;518.41K;-0.91%
02/16/2022;87.760;89.300;90.000;87.360;510.26K;-2.01%
02/15/2022;89.560;85.000;89.660;84.400;880.63K;4.77%
02/14/2022;85.480;85.000;86.720;84.300;1.12M;-2.69%
02/11/2022;87.840;84.480;88.420;84.000;1.01M;2.57%
02/10/2022;85.640;85.040;86.280;84.440;841.67K;0.97%
02/09/2022;84.820;79.440;85.980;78.980;1.35M;8.19%
02/08/2022;78.400;79.000;79.940;77.820;822.29K;-0.38%
02/07/2022;78.700;79.940;80.200;78.700;571.27K;-0.28%
02/04/2022;78.920;81.340;81.380;78.200;726.91K;-2.64%
02/03/2022;81.060;81.380;81.900;80.860;371.90K;-0.71%
02/02/2022;81.640;82.800;83.740;81.560;519.53K;-0.87%
02/01/2022;82.360;82.800;83.680;81.840;545.67K;-0.05%
01/31/2022;82.400;83.100;83.680;81.560;541.44K;0.56%
01/28/2022;81.940;83.580;83.800;81.120;665.79K;-1.84%
01/27/2022;83.480;82.000;84.860;81.700;582.65K;0.12%
01/26/2022;83.380;81.760;84.400;81.500;540.44K;3.04%
01/25/2022;80.920;81.840;82.020;80.100;650.42K;0.40%
01/24/2022;80.600;84.380;85.080;79.940;936.62K;-5.49%
01/21/2022;85.280;86.200;86.220;83.740;735.59K;-3.13%
01/20/2022;88.040;87.840;88.480;86.400;418.34K;0.18%
01/19/2022;87.880;87.340;89.380;86.560;527.70K;-0.02%
01/18/2022;87.900;87.800;88.740;86.060;717.26K;-0.50%
01/17/2022;88.340;89.380;89.520;87.480;379.27K;-0.36%
01/14/2022;88.660;88.560;90.100;87.800;618.82K;-0.54%
